"행정구역","2026년08월_계_총인구수","2026년08월_계_연령구간인구수","2026년08월_계_0세","2026년08월_계_1세","2026년08월_계_2세","2026년08월_계_3세","2026년08월_계_4세","2026년08월_계_5세","2026년08월_계_6세","2026년08월_계_7세","2026년08월_계_8세","2026년08월_계_9세","2026년08월_계_10세","2026년08월_계_11세","2026년08월_계_12세","2026년08월_계_13세","2026년08월_계_14세","2026년08월_계_15세","2026년08월_계_16세","2026년08월_계_17세","2026년08월_계_18세","2026년08월_계_19세","2026년08월_계_20세","2026년08월_계_21세","2026년08월_계_22세","2026년08월_계_23세","2026년08월_계_24세","2026년08월_계_25세","2026년08월_계_26세","2026년08월_계_27세","2026년08월_계_28세","2026년08월_계_29세","2026년08월_계_30세","2026년08월_계_31세","2026년08월_계_32세","2026년08월_계_33세","2026년08월_계_34세","2026년08월_계_35세","2026년08월_계_36세","2026년08월_계_37세","2026년08월_계_38세","2026년08월_계_39세","2026년08월_계_40세","2026년08월_계_41세","2026년08월_계_42세","2026년08월_계_43세","2026년08월_계_44세","2026년08월_계_45세","2026년08월_계_46세","2026년08월_계_47세","2026년08월_계_48세","2026년08월_계_49세","2026년08월_계_50세","2026년08월_계_51세","2026년08월_계_52세","2026년08월_계_53세","2026년08월_계_54세","2026년08월_계_55세","2026년08월_계_56세","2026년08월_계_57세","2026년08월_계_58세","2026년08월_계_59세","2026년08월_계_60세","2026년08월_계_61세","2026년08월_계_62세","2026년08월_계_63세","2026년08월_계_64세","2026년08월_계_65세","2026년08월_계_66세","2026년08월_계_67세","2026년08월_계_68세","2026년08월_계_69세","2026년08월_계_70세","2026년08월_계_71세","2026년08월_계_72세","2026년08월_계_73세","2026년08월_계_74세","2026년08월_계_75세","2026년08월_계_76세","2026년08월_계_77세","2026년08월_계_78세","2026년08월_계_79세","2026년08월_계_80세","2026년08월_계_81세","2026년08월_계_82세","2026년08월_계_83세","2026년08월_계_84세","2026년08월_계_85세","2026년08월_계_86세","2026년08월_계_87세","2026년08월_계_88세","2026년08월_계_89세","2026년08월_계_90세","2026년08월_계_91세","2026년08월_계_92세","2026년08월_계_93세","2026년08월_계_94세","2026년08월_계_95세","2026년08월_계_96세","2026년08월_계_97세","2026년08월_계_98세","2026년08월_계_99세","2026년08월_계_100세 이상"
"강원특별자치도 원주시 (5113000000)","365,379","365,379","2,142","2,058","1,960","2,157","2,124","2,296","2,383","2,477","2,636","3,022","3,187","3,314","3,220","3,410","3,655","3,719","3,500","3,435","3,571","3,468","3,139","3,158","3,448","3,347","3,470","3,944","4,231","4,062","4,456","4,725","4,809","4,902","5,052","5,161","5,059","4,655","4,665","4,497","4,332","4,425","4,634","4,583","4,872","5,458","5,865","5,918","5,784","5,488","5,322","5,377","5,416","5,681","6,253","6,382","6,160","6,678","6,452","6,708","6,337","5,968","6,153","5,924","5,269","6,204","5,875","6,740","6,664","5,703","5,352","5,198","4,582","4,291","3,506","2,979","3,829","2,075","2,030","2,098","2,187","2,243","1,700","1,816","1,718","1,779","1,752","1,583","1,381","1,259","1,135","831","706","584","422","336","263","177","129","102","81","52","64"
"강원특별자치도 원주시 문막읍(5113025000)","16,686","16,686","45","53","63","46","61","59","58","96","65","84","87","86","122","133","136","129","133","144","145","146","149","140","155","164","140","155","190","161","179","155","154","157","159","164","169","150","124","136","153","165","143","148","152","204","244","253","255","230","245","262","265","285","296","340","333","324","351","365","343","337","333","352","302","367","301","369","391","330","276","288","260","282","187","173","235","129","128","139","128","158","113","116","124","110","127","116","102","74","73","44","43","24","23","20","18","14","5","13","8","5","1"
"강원특별자치도 원주시 소초면(5113031000)","7,753","7,753","25","29","6","16","16","25","24","22","21","33","25","23","25","24","29","32","41","21","37","50","42","44","70","66","85","82","94","104","84","78","79","92","79","87","65","78","46","53","54","48","44","44","52","59","64","54","60","73","67","83","77","84","108","108","114","133","156","147","163","157","183","200","166","219","202","250","213","236","238","198","171","165","140","133","145","86","57","85","85","77","63","66","59","67","69","64","49","59","53","34","14","24","15","17","14","13","10","7","2","0","4"
"강원특별자치도 원주시 호저면(5113032000)","3,155","3,155","6","3","2","7","4","8","7","14","6","8","12","10","9","7","10","13","14","16","9","11","9","13","11","9","17","18","23","19","22","19","19","17","20","14","16","16","17","14","20","10","20","18","19","12","23","30","24","36","27","30","29","35","40","40","51","46","53","63","71","64","82","65","71","89","96","110","118","95","86","96","78","93","78","60","87","27","44","33","51","48","25","31","29","41","39","36","37","38","31","23","22","21","13","12","5","2","3","4","3","1","2"
"강원특별자치도 원주시 지정면(5113033000)","33,007","33,007","421","398","401","451","450","439","448","432","469","502","535","524","511","494","440","421","354","270","290","197","154","137","168","142","143","213","260","261","297","385","421","509","596","652","725","653","748","708","681","768","779","768","781","789","861","751","746","592","509","467","435","424","405","362","361","409","368","334","365","317","360","332","271","355","309","378","380","296","278","243","230","188","160","129","164","86","70","94","73","87","51","56","63","67","44","63","49","55","34","33","23","21","17","18","14","5","6","3","2","4","5"
"강원특별자치도 원주시 부론면(5113035000)","2,130","2,130","1","0","2","2","2","3","0","6","2","6","6","10","2","3","8","10","8","2","10","24","28","26","25","21","15","7","8","4","7","9","6","5","5","7","7","10","7","9","10","8","5","8","9","13","9","11","15","9","10","14","18","16","12","26","26","24","23","42","38","40","37","53","46","43","47","95","77","85","84","87","57","56","47","46","60","33","24","37","35","46","28","33","23","34","40","25","32","22","23","20","18","8","6","7","7","2","4","1","1","1","1"
"강원특별자치도 원주시 귀래면(5113036000)","2,056","2,056","1","2","2","2","3","3","4","6","2","3","4","5","9","2","5","7","5","7","10","4","3","10","11","5","3","8","9","9","14","3","14","6","9","6","9","6","7","10","3","6","6","9","8","12","12","16","11","22","14","14","11","17","20","16","39","27","27","37","40","52","51","77","57","68","55","89","80","81","61","65","65","53","59","47","54","35","22","35","32","38","26","28","26","33","35","21","23","16","18","11","8","8","8","6","3","6","2","2","2","2","1"
"강원특별자치도 원주시 흥업면(5113037000)","9,527","9,527","27","28","25","30","29","34","27","36","35","52","56","58","55","56","65","67","69","72","76","100","148","166","218","235","209","166","112","132","110","96","98","78","84","92","79","86","76","75","64","73","85","85","105","122","94","110","108","105","111","114","107","113","142","158","142","176","154","163","183","150","191","176","177","190","212","226","241","200","181","184","174","144","112","119","125","76","58","71","61","62","61","57","50","51","65","62","47","49","47","34","21","19","17","15","12","6","3","6","0","2","2"
"강원특별자치도 원주시 판부면(5113038000)","7,856","7,856","40","37","26","30","31","21","39","35","38","46","40","40","49","60","66","72","61","73","77","71","71","64","65","82","55","107","122","95","106","106","125","138","150","120","114","120","108","96","83","73","83","92","82","75","97","127","113","115","118","114","119","120","152","151","155","166","178","171","147","151","141","147","149","149","159","161","147","123","134","98","69","96","86","53","81","46","49","44","44","33","34","41","27","31","38","36","20","24","23","19","17","15","8","15","4","5","4","2","2","2","2"
"강원특별자치도 원주시 신림면(5113039000)","3,490","3,490","4","4","4","1","1","5","3","9","3","7","8","12","10","13","7","13","9","8","15","15","1","9","12","17","11","14","7","12","17","12","14","16","11","8","14","12","13","14","14","14","14","21","15","24","25","21","22","28","21","29","32","36","51","30","57","54","67","68","74","79","87","89","103","129","106","160","142","139","119","102","88","92","93","71","97","58","59","61","48","47","33","40","45","40","47","38","35","34","27","30","19","15","11","5","5","3","5","2","3","1","1"
